,SMILES,Material Code,Name,CAS
11,C1=CC(=CC=C1N)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,EA05142,4-Aminophenyl b-D-cellobioside,42935-24-0
12,C1=CC(=CC=C1N)S[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O,EA06539,4-Aminophenyl b-D-thiogalactopyranoside,29558-05-2
13,CC(=O)N[C@@H]\1[C@H]([C@@H]([C@H](O/C1=N\OC(=O)NC2=CC=CC=C2)CO)O)O,EA06838,(Z)-PugNAc,132489-69-1
14,CC1=CC(=O)OC2=C1C=CC(=C2)NC(=O)[C@H](C)NC(=O)C,EA30530,Acetyl-L-alanine 7-amido-4-methylcoumarin,355137-87-0
15,CC(=O)N1C2=C(C=C(C=C2)O)OC3=C1C=CC(=C3)O,EA58690,"N-Acetyl-3,7-dihydroxyphenoxazine",119171-73-2
16,C1=CC(=C(C2=C1NC=C2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)[O-])O)O)O)Cl)Br.[Na+],EB03171,5-Bromo-4-chloro-3-indolyl b-D-glucuronide sodium salt trihydrate,370100-64-4
17,C1=CC(=C(C2=C1NC=C2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)[O-])O)O)O)Cl)Br.[Na+],EB03265,5-Bromo-4-chloro-3-indolyl b-D-glucuronide sodium salt,129541-41-9
18,C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)OC2=CNC3=C2C(=C(C=C3)Br)Cl)O)O)O,EB03266,5-Bromo-4-chloro-3-indoxyl-alpha-L-fucopyranoside,171869-92-4
19,C1CCC(CC1)N.C1=CC(=C(C2=C1NC=C2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O)Cl)Br,EB04274,"5-Bromo-4-chloro-3-indoxyl-beta-D-glucuronic acid, cyclohexylammonium salt monohydrate",114162-64-0
20,C1CCC(CC1)N.C1=CC(=C(C2=C1NC=C2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O)Cl)Br,EB04274,5-Bromo-4-chloro-3-indolyl b-D-glucuronide cyclohexylammonium salt monohydrate,114162-64-0
21,C1=CC(=C(C2=C1NC=C2O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)Cl)Br,EB06680,X-Gal,7240-90-6
22,C1=CC(=C(C2=C1NC=C2O[C@@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)Cl)Br,EB06819,5-Bromo-4-chloro-3-indolyl a-D-galactopyranoside,107021-38-5
23,C1=C2C(=CC(=C1Br)Cl)NC=C2OP(=O)([O-])[O-].[Na+].[Na+],EB09298,5-Bromo-6-chloro-3-indolyl phosphate disodium monohydrate,404366-59-2
24,CC1=CC=C(C=C1)N.C1=C2C(=CC(=C1Br)Cl)NC=C2OP(=O)(O)O,EB09338,"5-Bromo-6-chloro-3-indoxyl phosphate, p-toluidine salt",6769-80-8
25,CC1=CC=C(C=C1)N.C1=C2C(=CC(=C1Br)Cl)NC=C2OP(=O)(O)O,EB09338,5-Bromo-6-chloro-3-indolyl phosphate p-toluidine salt,6769-80-8
26,C1=CC(=C(C2=C1NC=C2OP(=O)([O-])[O-])Cl)Br.[Na+].[Na+],EB09823,"5-Bromo-4-chloro-3-indoxyl phosphate, disodium salt sesquihydrate",102185-33-1
27,C1=CC(=C(C2=C1NC=C2OP(=O)([O-])[O-])Cl)Br.[K+].[K+],EB172035,"5-Bromo-4-chloro-3-indoxyl phosphate, dipotassium salt",390748-26-2
28,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)NC3=CC=C(C=C3)C(=O)[O-])NC(=O)N2.[Na+],EB18607,(+)-Biotin 4-amidobenzoic acid sodium salt,102418-74-6
29,CN1C=C(C=CC1=O)O,EBA09475,"5-hydroxy-1-methyl-1,2-dihydropyridin-2-one",29094-75-5
30,C1=CC2=C(C=C1Cl)NC=C2O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,EC03270,6-Chloro-3-indoxyl-alpha-D-mannopyranoside,425427-88-9
31,C1=CC2=C(C=C1Cl)NC=C2O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O,EC05439,6-Chloro-3-indolyl b-D-galactopyranoside,138182-21-5
32,C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)OC2=C(C=C(C=C2)[N+](=O)[O-])Cl)O)O)O,EC05990,2-Chloro-4-nitrophenyl-alpha-L-fucopyranoside,157843-41-9
33,C1=CC=C(C=C1)CC2=NC(=CN3C2=NC(=C3O)CC4=CC=C(C=C4)O)C5=CC=C(C=C5)O,EC14031,"Coelenterazine, native",55779-48-1
34,C1=CC=C(C=C1)CC2=NC(=CN3C2=NC(=C3O)CC4=CC=C(C=C4)O)C5=CC=C(C=C5)O,EC14031,Coelenterazine,55779-48-1
35,C1=CC=C(C(=C1)/C(=C\2/C=CC(=O)C(=C2)Cl)/C3=CC(=C(C=C3)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)Cl)S(=O)(=O)[O-].[Na+],EC15915,Chlorophenol red beta-D-galactopyranoside sodium salt,99792-50-4
36,C1=CC=C(C(=C1)/C(=C\2/C=CC(=O)C(=C2)Cl)/C3=CC(=C(C=C3)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)Cl)S(=O)(=O)[O-].[Na+],EC15915,Chlorophenol red-b-D-galactopyranoside sodium salt,99792-50-4
37,C1=CC=C2C(=C1)C(=O)OC23C4=C(C=C(C=C4)OP(=O)([O-])[O-])OC5=C3C=CC(=C5)OP(=O)([O-])[O-].[NH4+].[NH4+].[NH4+].[NH4+],EF58704,Fluorescein diphosphate tetraammonium salt,217305-49-2
38,CC1=CC(=O)OC2=C1C=CC(=C2)NC(=O)CN.Br,EG15996,Glycine 7-amido-4-methylcoumarin hydrobromide,113728-13-5
39,CCCCCCCCCCCCCCCC(=O)NC1=C(C=C2C(=C1)C(=CC(=O)O2)C)O,EH10520,6-Hexadecanoylamino-4-methylumbelliferone,99422-73-8
40,CCCCCCCCCCCCCCCC(=O)NC1=C(C=C2C(=C1)C(=CC(=O)O2)C)OP(=O)([O-])OCC[N+](C)(C)C,EH31028,6-Hexadecanoylamino-4-methylumbelliferyl phosphorylcholine - Moscerdam biochemical purity,904315-61-3
41,C1=CC=C2C(=C1)C(=CN2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,EI03317,3-Indoxyl-beta-D-glucopyranoside anhydrous,487-60-5
42,CC(C)S[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O,EI05931,Isopropyl b-D-thiogalactopyranoside - non-animal origin,367-93-1
43,C1CCC(CC1)N.C1=CC=C2C(=C1)C(=CN2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O,EI06605,3-Indolyl b-D-glucuronide cyclohexylammonium salt,216971-58-3
44,CC(C)S[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O,EI07011,Isopropyl-beta-D-thiogalactopyranoside,367-93-1
45,C1=CC=C2C(=C1)C(=CN2)OP(=O)([O-])[O-].[Na+].[Na+],EI24588,3-Indoxyl phosphate disodium salt,3318-43-2
46,CC1=CC(=O)OC2=C1C=CC(=C2)NC(=O)C(C)NC(=O)C(CCCCN)N.Cl,EL172292,L-Lysyl-L-alanine 7-amido-4-methylcoumarin dihydrochloride,103404-62-2
47,C1[C@@H](N=C(S1)C2=NC3=C(S2)C=C(C=C3)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)C(=O)O,EL28834,D-Luciferin-6-O b-D-galactopyranoside,131474-38-9
48,C[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)OC2=CC3=C(C=C2)C(=CC(=O)O3)C)O)O)O,EM00650,4-Methylumbelliferyl b-L-fucopyranoside,72601-82-2
49,C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)OC2=CC3=C(C=C2)C(=CC(=O)O3)C)O)O)O,EM01930,4-Methylumbelliferyl a-L-fucopyranoside,54322-38-2
50,C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)OC2=CC3=C(C=C2)C(=CC(=O)O3)C)O)O)O,EM01930,4-Methylumbelliferyl-alpha-L-fucopyranoside,54322-38-2
51,CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)C(=O)[O-])O)O)O.[Na+],EM01955,Methyl b-D-glucuronide sodium salt,134253-42-2
52,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@H]3[C@@H]([C@H]([C@H](CO3)O)O)O,EM03176,4-Methylumbelliferyl a-L-arabinopyranoside,69414-26-2
53,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)NC(=O)C,EM03177,4-Methylumbelliferyl 2-acetamido-2-deoxy-b-D-glucopyranoside,37067-30-4
54,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,EM03179,4-Methylumbelliferyl a-D-mannopyranoside,28541-83-5
55,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H](CO3)O)O)O,EM03180,4-Methylumbelliferyl b-D-xylopyranoside,6734-33-4
56,CC1=CC(=O)OC2=C1C=CC(=C2)OC3C(C(C(C(O3)C(=O)O)O)O)OS(=O)(=O)[O-].[Na+],EM03201,4-Methylumbelliferyl a-L-idopyranosiduronic acid 2-sulphate disodium salt - Moscerdam biochemical purity,1045020-74-3
57,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O.O,EM03216,4-Methylumbelliferyl b-D-glucuronide hydrate,881005-91-0
58,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)NC(=O)C,EM03221,4-Methylumbelliferyl 2-acetamido-3-O-(b-D-galactopyranosyl)-a-D-galactopyranoside,210357-36-1
59,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)COS(=O)(=O)[O-])O)O)NC(=O)C.[Na+],EM03271,4-4-Methylumbelliferyl 2-acetamido-2-deoxy-b-D-glucopyranoside-6-sulfate sodium salt,142439-99-4
60,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)NC(=O)C,EM04782,4-Methylumbelliferyl 2-acetamido-2-deoxy-a-D-galactopyranoside - Moscerdam biochemical purity,124223-99-0
61,CC1=CC(=O)OC2=C1C=CC(=C2)OC3C(C(C(C(O3)C(=O)[O-])O)O)O.[Na+],EM04841,4-Methylumbelliferyl a-L-idopyranosiduronic acid sodium salt,89157-94-8
62,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)COS(=O)(=O)[O-])O)O)NC(=O)C.[K+],EM04850,4-Methylumbelliferyl 2-acetamido-2-deoxy-a-D-glucopyranoside-6-sulfate potassium salt,210357-37-2
63,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O.O,EM05085,4-Methylumbelliferyl b-D-glucuronide dihydrate (MUG),881005-91-0
64,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O.O,EM05085,4-Methylumbelliferyl-beta-D-glucuronic acid dihydrate,881005-91-0
65,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)NC(=O)C)O)NC(=O)C,EM05129,"4-Methylumbelliferyl N,N-diacetyl-b-D-chitobioside",53643-12-2
66,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O.O.O.O,EM05130,4-Methylumbelliferyl b-D-glucuronide trihydrate,199329-67-4
67,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)COS(=O)(=O)[O-])O)O)O.[Na+],EM05134,4-Methylumbelliferyl b-D-galactopyranoside-6-sulphate sodium salt - Moscerdam biochemical purity,206443-06-3
68,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)NC(=O)C)O)NC(=O)C)O)NC(=O)C,EM05139,"4-Methylumbelliferyl N,N',N''-triacetyl-b-D-chitotrioside",53643-13-3
69,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O,EM05182,4-Methylumbelliferyl a-D-galactopyranoside,38597-12-5
70,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O,EM05182,4-Methylumbelliferyl-alpha-D-galactopyranoside,38597-12-5
71,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@]3(C[C@@H]([C@H]([C@@H](O3)[C@@H]([C@@H](CO)O)O)NC(=O)C)O)C(=O)[O-].[Na+],EM05195,4-Methylumbelliferyl N-acetyl-a-D-neuraminic acid sodium salt,76204-02-9
72,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@@H](O3)C(=O)O)O)O)O,EM05276,4-Methylumbelliferyl a-L-idopyranosiduronic acid,66966-09-4
73,C[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)OC2=CC3=C(C=C2)C(=CC(=O)O3)C)O)O)O,EM05354,4-Methylumbelliferyl-beta-D-fucopyranoside,55487-93-9
74,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)COS(=O)(=O)[O-])O)O)NC(=O)C.[K+],EM05722,4-Methylumbelliferyl 2-acetamido-2-deoxy-β-D-glucopyranoside-6-sulfate potassium salt,210357-38-3
75,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,EM05983,4-Methylumbelliferyl b-D-glucopyranoside,18997-57-4
76,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@@H](O3)C(=O)O)O)O)O.C1CCC(CC1)N,EM05986,4-Methylumbelliferyl a-L-idopyranosiduronic acid cyclohexylammonium salt,66895-33-8
77,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,EM06111,4-Methylumbelliferyl b-D-mannopyranoside,67909-30-2
78,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)NC(=O)C,EM06390,4-Methylumbelliferyl 2-acetamido-2-deoxy-b-D-galactopyranoside,36476-29-6
79,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)NC(=O)C,EM06426,4-Methylumbelliferyl 2-acetamido-2-deoxy-a-D-glucopyranoside,80265-04-9
80,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)NS(=O)(=O)[O-].[Na+],EM06602,4-Methylumbelliferyl 2-deoxy-2-sulfamino-a-D-glucopyranoside sodium salt - Moscerdam biochemical purity,460085-45-4
81,CCCCCCCCCCCCCCCC(=O)SC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OC2=CC3=C(C=C2)C(=CC(=O)O3)C)O)O)O,EM06650,4-Methylumbelliferyl 6-thio-palmitate-b-D-glucopyranoside - Moscerdam biochemical purity,229644-17-1
82,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,EM06811,4-Methylumbelliferyl b-D-ribofuranoside,195385-93-4
83,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,EM06820,4-Methylumbelliferyl a-D-glucopyranoside,17833-43-1
84,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,EM06820,4-Methylumbelliferyl-alpha-D-glucopyranoside,17833-43-1
85,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O)O,EM06840,4-Methylumbelliferyl beta-D-lactoside,84325-23-5
86,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,EM08000,4-Methylumbelliferyl b-D-cellobioside,72626-61-0
87,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H](O3)CO)O)O,EM09792,4-Methylumbelliferyl a-L-arabinofuranoside,77471-44-4
88,CC1=NC(=CC=C1)S[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)NC(=O)C,EM10847,6-Methyl-2-pyridyl 2-acetamido-2-deoxy-b-D-thioglucopyranoside,149263-94-5
89,CCCCCCCC(=O)OC1=CC2=C(C=C1)C(=CC(=O)O2)C,EM15597,4-Methylumbelliferyl caprylate,20671-66-3
90,CCCC(=O)OC1=CC2=C(C=C1)C(=CC(=O)O2)C,EM15599,4-Methylumbelliferyl butyrate,17695-46-4
91,CC1=CC(=O)OC2=C1C=CC(=C2)OS(=O)(=O)[O-].[K+],EM15697,4-Methylumbelliferyl sulfate potassium salt,15220-11-8
92,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)COS(=O)(=O)[O-])O)O)O.[Na+],EM171962,4-Methylumbelliferyl b-D-galactopyranoside-6-sulphate sodium salt,206443-06-3
93,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)COS(=O)(=O)[O-])O)O)NC(=O)C.[Na+],EM31027,4-Methylumbelliferyl 2-acetamido-2-deoxy-a-D-glucopyranoside-6-sulfate sodium salt - Moscerdam biochemical purity,153484-08-3
94,CCCCCCCCCCCCCCCC(=O)OC1=CC2=C(C=C1)C(=CC(=O)O2)C,EM35421,4-Methylumbelliferyl palmitate,17695-48-6
95,CCCCCCCCC(=O)OC1=CC2=C(C=C1)C(=CC(=O)O2)C,EM52253,4-Methylumbelliferyl nonanoate,18319-93-2
96,CCCCCCC(=O)OC1=CC2=C(C=C1)C(=CC(=O)O2)C,EM67746,4-Methylumbelliferyl heptanoate,18319-92-1
97,C1=CC(=CC=C1[N+](=O)[O-])O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,EN03181,4-Nitrophenyl-beta-D-glucopyranoside,2492-87-7
98,C1=CC(=CC=C1[N+](=O)[O-])O[C@@H]2[C@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,EN03183,4-Nitrophenyl-alpha-D-mannopyranoside,10357-27-4
99,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OC2=CC=C(C=C2)[N+](=O)[O-])CO)O)O,EN03208,4-Nitrophenyl 2-acetamido-2-deoxy-a-D-glucopyranoside,10139-02-3
100,C1=CC(=CC=C1[N+](=O)[O-])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,EN03227,4-Nitrophenyl a-D-glucopyranoside,3767-28-0
101,C1=CC(=CC=C1[N+](=O)[O-])O[C@@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O,EN03229,4-Nitrophenyl-alpha-D-galactopyranoside,7493-95-0
102,C1=CC(=CC=C1[N+](=O)[O-])O[C@@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O,EN03229,4-Nitrophenyl-alpha-D-galactopyranoside,7493-95-0
103,C1[C@H]([C@@H]([C@H]([C@@H](O1)OC2=CC=C(C=C2)[N+](=O)[O-])O)O)O,EN03230,4-Nitrophenyl b-D-xylopyranoside,2001-96-9
104,C1[C@H]([C@@H]([C@H]([C@H](O1)OC2=CC=C(C=C2)[N+](=O)[O-])O)O)O,EN03233,4-Nitrophenyl a-D-xylopyranoside,10238-28-5
105,C1=CC=C2C=C(C=CC2=C1)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)[O-])O)O)O.[Na+],EN03259,2-Naphthyl b-D-glucuronide sodium salt,20838-64-6
106,C[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)OC2=CC=C(C=C2)[N+](=O)[O-])O)O)O,EN03274,4-Nitrophenyl-beta-D-fucopyranoside,1226-39-7
107,C1=CC=C(C(=C1)[N+](=O)[O-])O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,EN03286,2-Nitrophenyl b-D-cellobioside,70867-33-3
108,C[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)OC2=CC=CC=C2[N+](=O)[O-])O)O)O,EN03289,2-Nitrophenyl b-D-fucopyranoside,1154-94-5
109,C1=CC(=CC=C1[N+](=O)[O-])O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,EN03295,4-Nitrophenyl-beta-D-maltopyranoside,56846-39-0
110,C1=CC(=CC=C1[N+](=O)[O-])O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,EN04798,4-Nitrophenyl-beta-D-cellobioside,3482-57-3
111,C1=CC(=CC=C1[N+](=O)[O-])O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)O)O)O)O,EN04823,4-Nitrophenyl-beta-D-glucuronic acid,10344-94-2
112,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1OC2=CC=C(C=C2)[N+](=O)[O-])CO)O)O,EN04911,4-Nitrophenyl 2-acetamido-2-deoxy-b-D-glucopyranoside,3459-18-5
113,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1OC2=CC=C(C=C2)[N+](=O)[O-])CO)O)O,EN04911,4-Nitrophenyl-N-acetyl-beta-D-glucosaminide,3459-18-5
114,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1OC2=CC=C(C=C2)[N+](=O)[O-])CO)O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)O,EN04915,4-Nitrophenyl 2-acetamido-2-deoxy-4-O-(b-D-galactopyranosyl)-b-D-glucopyranoside,74211-28-2
115,CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@@H]1OC2=CC=C(C=C2)[N+](=O)[O-])CO)O)O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O,EN04925,4-Nitrophenyl 2-acetamido-2-deoxy-3-O-(b-D-galactopyranosyl)-a-D-galactopyranoside,59837-14-8
116,C1=CC=C2C(=C1)C=CC=C2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)[O-])O)O)O.[Na+],EN05128,1-Naphthyl b-D-glucuronide sodium salt,83833-12-9
117,COC1=C(C=CC(=C1)/C=C/C(=O)OC2=CC=C(C=C2)[N+](=O)[O-])O,EN05238,4-Nitrophenyl trans-ferulate,398128-60-4
118,C1[C@@H]([C@@H]([C@H]([C@H](O1)OC2=CC=C(C=C2)[N+](=O)[O-])O)O)O,EN05253,4-Nitrophenyl b-L-arabinopyranoside,72732-54-8
119,C1=CC=C(C(=C1)[N+](=O)[O-])O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O,EN06363,2-Nitrophenyl-beta-D-galactopyranoside,369-07-3
120,C1=CC=C(C(=C1)[N+](=O)[O-])O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O,EN06363,2-Nitrophenyl-beta-D-galactopyranoside,369-07-3
