,SMILES,Material Code,Name,CAS
10,CCCCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,DD06357,Decyl b-D-glucopyranoside,58846-77-8
11,CCCCCCCCCCS[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,DD06358,Decyl b-D-thiomaltopyranoside,148565-56-4
12,CCCCCCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,DD06359,n-Dodecyl-beta-D-glucopyranoside,59122-55-3
13,CCCCCCCCCCO[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,DD06375,Decyl a-D-maltopyranoside,168037-12-5
14,CCCCCCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,DD11096,Dodecyl b-D-cellobioside,74513-19-2
15,CCCCCCCCC(CCCCCCCC)(CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)CO[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,DD14033,Decyl maltose neopentyl glycol,1257852-99-5
16,CCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,DH04966,Heptyl b-D-glucopyranoside,78617-12-6
17,CCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,DH04978,Hexyl b-D-glucopyranoside,59080-45-4
18,CCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,DH05113,Hexyl b-D-maltopyranoside,870287-95-9
19,CCCCCCCCCCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,DH05118,Hexadecyl b-D-maltopyranoside,98064-96-1
20,CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@@H]([C@@H](C)C(=O)N[C@@H](CC2=CC=CC=C2)C3=NC=CS3)OC)OC)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC,DIA84991,MonoMe Auristatin D,203849-91-6
21,CC(C)[C@@H](/C=C(\C)/C(=O)O)N(C)C(=O)[C@H](C(C)(C)C)NC(=O)[C@H](C(C)(C)C1=CC=CC=C1)NC,DJA26640,Taltobulin,228266-40-8
22,CCCCCCCCCCC(CCCCCCCCCC)(CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)CO[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,DL14035,Lauryl maltose neopentyl glycol,1257852-96-2
23,C[C@H]1CCCCCC/C=C\CCCCCCCC(=O)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H]([C@@H]([C@H](O[C@H]3O1)COC(=O)C)O)O)COC(=O)C,DL71483,Lactonic (di-acetylated) Sophorolipids,148409-20-5
24,CCCCCCCNC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OC)O)O)O,DM06833,Methyl 6-O-(N-heptylcarbamoyl)-a-D-glucopyranoside,115457-83-5
25,CCCCCCCC(=O)N(C)C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,DM32207,N-Methyl-N-octanoylglucamine,85316-98-9
26,CC(C)[C@@H](C(=O)N[C@@H](CC1=CN=CN1)C(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(=O)N)NC(=O)C,DMB00650,Acetyl tetrapeptide-9,928006-50-2
27,[C@@H]([C@H](C(=O)O)O)(C(=O)O)O,DMB65970,Eliglustat hemitartrate,928659-70-5
28,CCCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)NC(=O)C,DN02485,Nonyl 2-acetamido-2-deoxy-b-D-glucopyranoside,173725-28-5
29,CCCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,DN03173,Nonyl b-D-glucopyranoside,69984-73-2
30,CCCCCCCCCS[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,DN05109,Nonyl b-D-thiomaltopyranoside,148565-55-3
31,CCCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,DN05115,Nonyl b-D-maltopyranoside,106402-05-5
32,CCCCCCCCCCCC(=O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,DO00320,1-Oxododecyl b-D-glucopyranoside,64395-92-2
33,CCCCCCCC(=O)OC1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,DO00379,Octanoyl D-glucopyranoside,60415-65-8
34,CCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O)O,DO02094,Octyl 4-O-(b-D-galactopyranosyl)-b-D-glucopyranoside,74513-17-0
35,CCCCCCCCCCCCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)NC(=O)C,DO02507,Octyldecyl 2-acetamido-2-deoxy-b-D-glucopyranoside,173725-29-6
36,CCCCCCCCO[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)CO[C@@H]2[C@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O,DO04803,"Octyl 3,6-di-O-(a-D-mannopyranosyl)-b-D-mannopyranoside",140147-36-0
37,CCCCCCCCO[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,DO04849,Octyl a-D-glucopyranoside,29781-80-4
38,CCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,DO04976,"Octyl 2,3,4,6-tetra-O-acetyl-b-D-glucopyranoside",38954-67-5
39,CCCCCCCCOC1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,DO04996,Octyl D-glucopyranoside,54549-23-4
40,CCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,DO05084,n-Octyl b-D-maltoside,82494-08-4
41,CCCCCCCCCCCC(=O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,DO05160,1-Oxododecyl a-D-glucopyranoside,64395-91-1
42,CCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,DO05161,Octyl b-D-glucopyranoside,29836-26-8
43,CCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,DO05161,n-Octyl-beta-D-glucopyranoside,29836-26-8
44,CCCCCCCCCCCCCCCCCCSCCOC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)OC3C(C(C(C(O3)COC4C(C(C(C(O4)CO)O)O)O)O)O)O)O)O)O)O,DO05214,Octadecylthioethyl 4-O-(4-O[6-O-a-D-glucopyranosyl-a-D-glucopyranosyl]-a-D-glucopyranosyl)-b-D-glucopyranoside,90215-01-3
45,CCCCCCCCS[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,DO05739,Octyl b-D-thiomaltopyranoside,148616-91-5
46,CCCCCCCCO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O,DO06352,Octyl b-D-galactopyranoside,40427-75-6
47,CCCCCCCCS[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,DO06354,Octyl b-D-thioglucopyranoside,85618-21-9
48,CCCCCCCCS[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,DO06354,n-Octyl-beta-D-thioglucopyranoside,85618-21-9
49,CCCCCCCCO[C@@H]1[C@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,DO07149,Octyl α-D-mannopyranoside,124650-29-9
50,CCCCCCCCO[C@@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O,DO07151,Octyl a-D-galactopyranoside,149342-80-3
51,CCCCCCCCOC1[C@@H]([C@H]([C@@H]([C@H](O1)C(=O)OC)O)O)O,DO08606,Octyl D-glucuronide methyl ester,1423035-40-8
52,CCCCCCC(CCCCCC)(CO[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)CO)O)O)O)CO[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)CO)O)O)O,DO14034,Octyl glucose neopentyl glycol,1257853-32-9
53,CCCCCCCCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,DT06373,Tetradecyl b-D-maltopyranoside,18449-82-6
54,CCCCCCCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,DT06381,Tridecyl b-D-maltopyranoside,93911-12-7
55,CCCCCCCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,DT06381,Tridecyl beta-D-maltopyranoside,93911-12-7
56,CCCCCCCCOCCOCCOCCOCCO,DT15552,Tetraethylene glycol monooctyl ether,19327-39-0
57,CCCCCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,DU04980,Undecyl b-D-glucopyranoside,70005-86-6
58,CCCCCCCCCCCO[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,DU05104,Undecyl a-D-maltopyranoside,168037-13-6
59,C([C@H]([C@H](CO)O)O)O,ME05658,meso-Erythritol,149-32-6
60,CCC1=CC2=C(C=C1)NC=C2,FE52236,5-Ethylindole,68742-28-9
61,CCN1C2=C(C=C(C=C2)N)C3=CC=CC=C31,EA00384,3-Amino-9-ethylcarbazole,132-32-1
62,C1=CC(=CC=C1O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,EA01844,Arbutin - Synthetic origin,497-76-7
63,C1=CC(=CC=C1N)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)O)O,EA04486,4-Aminophenyl b-D-lactopyranoside,17691-02-0
64,C1=CC(=CC=C1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,EA05100,4-Aminophenyl-alpha-D-glucopyranoside,31302-52-0
65,C1=CC(=CC=C1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,EA05100,4-Aminophenyl a-D-glucopyranoside,31302-52-0
66,C1=CC(=CC=C1N)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,EA05142,4-Aminophenyl b-D-cellobioside,42935-24-0
67,C1=CC(=CC=C1N)S[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O,EA06539,4-Aminophenyl b-D-thiogalactopyranoside,29558-05-2
68,CC(=O)C1=CC2=C(C=C(C=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)OC1=O,EA06744,3-Acetylumbelliferyl b-D-glucopyranoside,20943-16-2
69,CC(=O)N[C@@H]\1[C@H]([C@@H]([C@H](O/C1=N\OC(=O)NC2=CC=CC=C2)CO)O)O,EA06838,(Z)-PugNAc,132489-69-1
70,CC1=CC(=O)OC2=C1C=CC(=C2)NC(=O)[C@H](C)N,EA09861,"L-Alanine 7-amido-4-methylcoumarin, trifluoroacetate salt",96594-10-4
71,CC1=CC(=O)OC2=C1C=CC(=C2)NC(=O)[C@H](C)N,EA09861,L-Alanine-7-amido-4-methylcoumarin trifluoroacetic acid salt,96594-10-4
72,C1=CC(=CC=C1O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,EA10634,a-Arbutin,84380-01-8
73,CC1=CC(=O)OC2=C1C=CC(=C2)NC(=O)CCN,EA16004,"beta-Alanine 7-amido-4-methylcoumarin, trifluoroacetate salt",201847-54-3
74,CC1=CC(=O)OC2=C1C=CC(=C2)NC(=O)CCN,EA16004,b-Alanine 7-amido-4-methylcoumarin trifluoroacetate salt,201847-54-3
75,CC1=CC(=O)OC2=C1C=CC(=C2)NC(=O)[C@H](C)NC(=O)C,EA30530,Acetyl-L-alanine 7-amido-4-methylcoumarin,355137-87-0
76,CC(=O)NCC(=O)OC1=CC=C(C=C1)[N+](=O)[O-],EA31321,N-Acetyl-glycine p-nitroanilide,3304-61-8
77,C1=CC(=CC=C1O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,EA31688,Arbutin - Natural origin,497-76-7
78,CC(=O)OC1=CC(=C2C=CC3=C(C=C(C4=C3C2=C1C=C4)S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-],EA45175,"8-Acetoxypyrene-1,3,6-trisulfonic acid trisodium salt",115787-83-2
79,CC(=O)N1C2=C(C=C(C=C2)O)OC3=C1C=CC(=C3)O,EA58690,"N-Acetyl-3,7-dihydroxyphenoxazine",119171-73-2
80,CC(=O)SCC[N+](C)(C)C,EA66467,Acetylthiocholine bromide,25025-59-6
81,CC(=O)N[C@@H]1[C@H](C[C@@](O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)[O-])OC2=CNC3=C2C(=C(C=C3)Br)Cl)O,EB02506,"5-Bromo-4-chloro-3-indoxyl-alpha-D-N-acetylneuraminic acid, sodium salt",160369-85-7
82,CC(=O)N[C@@H]1[C@H](C[C@@](O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)[O-])OC2=CNC3=C2C(=C(C=C3)Br)Cl)O,EB02506,5-Bromo-4-chloro-3-indolyl N-acetyl-a-D-neuraminic acid sodium salt,160369-85-7
83,C1=CC(=C(C2=C1NC=C2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)Cl)Br,EB03169,5-Bromo-4-chloro-3-indoxyl-beta-D-glucopyranoside,15548-60-4
84,C1=CC(=C(C2=C1NC=C2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)Cl)Br,EB03169,5-Bromo-4-chloro-3-indolyl β-D-glucopyranoside,15548-60-4
85,C1=CC(=C(C2=C1NC=C2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)[O-])O)O)O)Cl)Br,EB03171,"5-Bromo-4-chloro-3-indoxyl-beta-D-glucuronic acid, sodium salt trihydrate",370100-64-4
86,C1=CC(=C(C2=C1NC=C2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)[O-])O)O)O)Cl)Br,EB03171,5-Bromo-4-chloro-3-indolyl b-D-glucuronide sodium salt trihydrate,370100-64-4
87,C1=CC2=C(C=C1Br)C(=CN2)O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O,EB03172,5-Bromo-3-indoxyl-beta-D-galactopyranoside,97753-82-7
88,C1=CC2=C(C=C1Br)C(=CN2)O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O,EB03172,5-Bromo-3-indolyl b-D-galactopyranoside,97753-82-7
89,C1=CC2=C(C=CC(=C2)Br)C=C1O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O,EB03245,6-Bromo-2-naphthyl b-D-glucuronide,22720-35-0
90,C1[C@H]([C@@H]([C@H]([C@@H](O1)OC2=CNC3=C2C(=C(C=C3)Br)Cl)O)O)O,EB03248,5-Bromo-4-chloro-3-indoxyl-beta-D-xylopyranoside,207606-55-1
91,C1[C@H]([C@@H]([C@H]([C@@H](O1)OC2=CNC3=C2C(=C(C=C3)Br)Cl)O)O)O,EB03248,5-Bromo-4-chloro-3-indolyl b-D-xylopyranoside,207606-55-1
92,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1OC2=CNC3=C2C=C(C=C3)Br)CO)O)O,EB03249,5-Bromo-3-indolyl 2-acetamido-2-deoxy-b-D-glucopyranoside,58225-98-2
93,C1=C2C(=CC(=C1Br)Cl)NC=C2O[C@@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O,EB03261,5-Bromo-6-chloro-3-indoxyl-alpha-D-galactopyranoside,198402-60-7
94,C1=C2C(=CC(=C1Br)Cl)NC=C2O[C@@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O,EB03261,5-Bromo-6-chloro-3-indolyl a-D-galactopyranoside,198402-60-7
95,C1=CC(=C(C2=C1NC=C2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)[O-])O)O)O)Cl)Br,EB03265,"5-Bromo-4-chloro-3-indoxyl-beta-D-glucuronic acid, sodium salt anhydrous",129541-41-9
96,C1=CC(=C(C2=C1NC=C2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)[O-])O)O)O)Cl)Br,EB03265,5-Bromo-4-chloro-3-indolyl b-D-glucuronide sodium salt,129541-41-9
97,C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)OC2=CNC3=C2C(=C(C=C3)Br)Cl)O)O)O,EB03266,5-Bromo-4-chloro-3-indoxyl-alpha-L-fucopyranoside,171869-92-4
98,C1=CC(=C(C2=C1NC=C2O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)Cl)Br,EB03269,5-Bromo-4-chloro-3-indoxyl-alpha-D-mannopyranoside,125229-64-3
99,C1=CC(=C(C2=C1NC=C2O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)Cl)Br,EB03269,5-Bromo-4-chloro-3-indolyl a-D-mannopyranoside,125229-64-3
100,C[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)OC2=CNC3=C2C(=C(C=C3)Br)Cl)O)O)O,EB03272,5-Bromo-4-chloro-3-indoxyl-beta-D-fucopyranoside,17016-46-5
101,C[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)OC2=CNC3=C2C(=C(C=C3)Br)Cl)O)O)O,EB03272,5-Bromo-4-chloro-3-indolyl b-D-fucopyranoside,17016-46-5
102,C1=CC2=C(C=CC(=C2)Br)C=C1O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,EB03284,6-Bromo-2-naphthyl b-D-glucopyranoside,15548-61-5
103,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1OC2=CNC3=C2C(=C(C=C3)Br)Cl)CO)O)O,EB03287,5-Bromo-4-chloro-3-indoxyl-N-acetyl-beta-D-glucosaminide,4264-82-8
104,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1OC2=CNC3=C2C(=C(C=C3)Br)Cl)CO)O)O,EB03287,5-Bromo-4-chloro-3-indolyl 2-acetamido-2-deoxy-b-D-glucopyranoside,4264-82-8
105,C[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)OC2=CNC3=C2C(=C(C=C3)Br)Cl)O)O)O,EB03292,5-Bromo-4-chloro-3-indoxyl-beta-L-fucopyranoside,125328-84-9
106,C[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)OC2=CNC3=C2C(=C(C=C3)Br)Cl)O)O)O,EB03292,5-Bromo-4-chloro-3-indolyl b-L-fucopyranoside,125328-84-9
107,C1=C2C(=CC(=C1Br)Cl)NC=C2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,EB03298,5-Bromo-6-chloro-3-indoxyl-beta-D-glucopyranoside,93863-89-9
108,C1=C2C(=CC(=C1Br)Cl)NC=C2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,EB03298,5-Bromo-6-chloro-3-indolyl b-D-glucopyranoside,93863-89-9
109,C1=C2C(=CC(=C1Br)Cl)NC=C2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O,EB03300,"5-Bromo-6-chloro-3-indoxyl-beta-D-glucuronic acid, cyclohexylammonium salt",144110-43-0
110,C1=C2C(=CC(=C1Br)Cl)NC=C2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O,EB03300,5-Bromo-6-chloro-3-indolyl b-D-glucuronide cyclohexylammonium salt,144110-43-0
111,C[C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC2=CNC3=C2C(=C(C=C3)Br)Cl)O)O)O,EB03301,5-Bromo-4-chloro-3-indoxyl-alpha-D-fucopyranoside,1301706-80-8
112,C[C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC2=CNC3=C2C(=C(C=C3)Br)Cl)O)O)O,EB03301,5-Bromo-4-chloro-3-indolyl a-D-fucopyranoside,1301706-80-8
113,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)OP(=O)(O)OC3=CNC4=C3C(=C(C=C4)Br)Cl,EB03303,"5-Bromo-4-chloro-3-indoxyl thymidine-3'-phosphate, cyclohexylammonium salt",341973-00-0
114,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)OP(=O)(O)OC3=CNC4=C3C(=C(C=C4)Br)Cl,EB03303,5-Bromo-4-chloro-3-indolyl-D-thymidine-3'-phosphate cyclohexylammonium salt,341973-00-0
115,C1=CC2=C(C=CC(=C2)Br)C=C1O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,EB03307,6-Bromo-2-naphthyl a-D-glucopyranoside,25696-57-5
116,C1=CC(=C(C2=C1NC=C2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)Cl)Br,EB03309,5-Bromo-4-chloro-3-indoxyl-beta-D-cellobioside,177966-52-8
117,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1OC2=CNC3=CC(=C(C=C32)Br)Cl)CO)O)O,EB03313,5-Bromo-6-chloro-3-indoxyl-N-acetyl-beta-D-glucosaminide,5609-91-6
118,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1OC2=CNC3=CC(=C(C=C32)Br)Cl)CO)O)O,EB03313,5-Bromo-6-chloro-3-indolyl 2-acetamido-2-deoxy-b-D-glucopyranoside,5609-91-6
119,CCCCCCCC(=O)OC1=CNC2=C1C(=C(C=C2)Br)Cl,EB04037,5-Bromo-4-chloro-3-indoxyl caprylate,129541-42-0
120,CCCCCCCC(=O)OC1=CNC2=C1C(=C(C=C2)Br)Cl,EB04037,5-Bromo-4-chloro-3-indolyl caprylate,129541-42-0
121,C1=CC(=C(C2=C1NC=C2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O)Cl)Br,EB04274,"5-Bromo-4-chloro-3-indoxyl-beta-D-glucuronic acid, cyclohexylammonium salt monohydrate",114162-64-0
122,C1=CC(=C(C2=C1NC=C2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O)Cl)Br,EB04274,5-Bromo-4-chloro-3-indolyl b-D-glucuronide cyclohexylammonium salt monohydrate,114162-64-0
123,C1=CC2=C(C=CC(=C2)Br)C=C1O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O,EB04969,6-Bromo-2-naphthyl b-D-galactopyranoside,15572-30-2
124,C1=CC(=C(C2=C1NC=C2O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)Cl)Br,EB05081,5-Bromo-4-chloro-3-indoxyl-alpha-D-glucopyranoside,108789-36-2
125,C1=CC(=C(C2=C1NC=C2O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)Cl)Br,EB05081,5-Bromo-4-chloro-3-indolyl a-D-glucopyranoside,108789-36-2
126,C1=CC(=C(C2=C1NC=C2O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)Cl)Br,EB05120,5-Bromo-4-chloro-3-indolyl b-D-mannopyranoside,129787-67-3
